
 LIST ALL SELECTED NODES.   DSYS=      a

   NODE        X           Y           Z         THXY    THYZ    THZX
      390    15.232      11.688      14.400        0.00    0.00    0.00
      391    13.576      13.576      14.400        0.00    0.00    0.00
      392    11.688      15.232      14.400        0.00    0.00    0.00
      393    9.6000      16.628      14.400        0.00    0.00    0.00
      394    7.3475      17.738      14.400        0.00    0.00    0.00
      395    4.9693      18.546      14.400        0.00    0.00    0.00
      396    2.5061      19.036      14.400        0.00    0.00    0.00
      397    0.0000      19.200      14.400        0.00    0.00    0.00
      398   -2.5061      19.036      14.400        0.00    0.00    0.00
      399   -4.9693      18.546      14.400        0.00    0.00    0.00
      400   -7.3475      17.738      14.400        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      401   -9.6000      16.628      14.400        0.00    0.00    0.00
      402   -11.688      15.232      14.400        0.00    0.00    0.00
      403   -13.576      13.576      14.400        0.00    0.00    0.00
      404   -15.232      11.688      14.400        0.00    0.00    0.00
      405   -16.628      9.6000      14.400        0.00    0.00    0.00
      406   -17.738      7.3475      14.400        0.00    0.00    0.00
      407   -18.546      4.9693      14.400        0.00    0.00    0.00
      408   -19.036      2.5061      14.400        0.00    0.00    0.00
      409   -19.200      0.0000      14.400        0.00    0.00    0.00
      410   -19.036     -2.5061      14.400        0.00    0.00    0.00
      411   -18.546     -4.9693      14.400        0.00    0.00    0.00
      412   -17.738     -7.3475      14.400        0.00    0.00    0.00
      413   -16.628     -9.6000      14.400        0.00    0.00    0.00
      414   -15.232     -11.688      14.400        0.00    0.00    0.00
      415   -13.576     -13.576      14.400        0.00    0.00    0.00
      416   -11.688     -15.232      14.400        0.00    0.00    0.00
      417   -9.6000     -16.628      14.400        0.00    0.00    0.00
      418   -7.3475     -17.738      14.400        0.00    0.00    0.00
      419   -4.9693     -18.546      14.400        0.00    0.00    0.00
      420   -2.5061     -19.036      14.400        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      421    0.0000     -19.200      14.400        0.00    0.00    0.00
      422    2.5061     -19.036      14.400        0.00    0.00    0.00
      423    4.9693     -18.546      14.400        0.00    0.00    0.00
      424    7.3475     -17.738      14.400        0.00    0.00    0.00
      425    9.6000     -16.628      14.400        0.00    0.00    0.00
      426    11.688     -15.232      14.400        0.00    0.00    0.00
      427    13.576     -13.576      14.400        0.00    0.00    0.00
      428    15.232     -11.688      14.400        0.00    0.00    0.00
      429    16.628     -9.6000      14.400        0.00    0.00    0.00
      430    17.738     -7.3475      14.400        0.00    0.00    0.00
      431    18.546     -4.9693      14.400        0.00    0.00    0.00
      432    19.036     -2.5061      14.400        0.00    0.00    0.00
      433    17.406      0.0000      16.524        0.00    0.00    0.00
      434    17.257      2.2719      16.524        0.00    0.00    0.00
      435    16.813      4.5049      16.524        0.00    0.00    0.00
      436    16.081      6.6609      16.524        0.00    0.00    0.00
      437    15.074      8.7029      16.524        0.00    0.00    0.00
      438    13.809      10.596      16.524        0.00    0.00    0.00
      439    12.308      12.308      16.524        0.00    0.00    0.00
      440    10.596      13.809      16.524        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      441    8.7029      15.074      16.524        0.00    0.00    0.00
      442    6.6609      16.081      16.524        0.00    0.00    0.00
      443    4.5049      16.813      16.524        0.00    0.00    0.00
      444    2.2719      17.257      16.524        0.00    0.00    0.00
      445    0.0000      17.406      16.524        0.00    0.00    0.00
      446   -2.2719      17.257      16.524        0.00    0.00    0.00
      447   -4.5049      16.813      16.524        0.00    0.00    0.00
      448   -6.6609      16.081      16.524        0.00    0.00    0.00
      449   -8.7029      15.074      16.524        0.00    0.00    0.00
      450   -10.596      13.809      16.524        0.00    0.00    0.00
